"x"	Positive	Negative
"RT @rahbargrl: In Iceland. Flew w/ @Delta here but NOT sure what is going on now. Apparently gotta flight outta MSP but...how am I getting "	1	-1
"@Delta Your gate agents at G21 and A2 in MSP saved my bacon on a tight connection just now.  Thank you!!"	2	-1
"@Delta nope...not having it today!"	1	-1
"@jordyc_0 @JoeyStefani @Delta #justiceforjoey"	1	-1
"@AmericanAir and @Delta have quietly changed their intl baggage fees and are now charging ppl traveling to @mexico for checked bags"	1	-1
"@Delta  well, loyal customer was just told by flight attendant \"best I can tell u is to run to your flight. Hope you make it\""	3	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@laurenfleskes @Delta @CarnivalCruise omg that's so awful!!!!!"	2	-5
"How is @Delta gonna rebook me for TWO flights from now when THEY caused mt misconnect &amp; my flight is still here?!?"	2	-1
"RT @LennyDinardo: @Delta how about not boarding a plane when there is a monsoon going on in nor-cal then telling us we r too heavy to take "	1	-1
"Nice touch @Delta @SunTrustPark https://t.co/9fPzoz9OFQ"	2	-1
"@Delta it's a big inconvenience and we ar going to miss our cruise which we will not get refunded for."	2	-2
"@docmartin_10 Apologies for the delayed response. We're no longer at @DeltaAssist. Pls follow/DM your confirm # here, @Delta for... 1/2"	1	-1
"Woah. Emergency landing in Raleigh. @Delta LGA to Tampa. Excellent staff &amp; nurse/dr passengers that assisted someone in flight! Thanks!"	4	-2
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta 2/2 what we need to know is 45 minutes from what time? That's how we know if we will miss connections. Just a suggestion."	2	-2
"DO NOT FLY @Delta flight 1385 delayed the rest of my group. Serious, repeated problems with this airline. @CarnivalCruise #delta #carnival"	1	-2
"RT @AirlineGeeks: Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"@Delta  Being told it's only a short 45 min flight to DTW doesn't help when we've already sat on the ramp for 45 min past departure time 1/2"	1	-1
"@Delta @CarnivalCruise carnival miracle specifically, going out of Long Beach"	1	-1
"@haylzc6 @delta No, I don t believe so. They announced it was going year round on May 26!"	1	-1
"@Delta still stuck, doesn't look good. We need @CarnivalCruise lines to wait for us. I'm extremely worried."	2	-5
"@GabrielleSaraP @Delta ugh. I'm sorry. We had a flight to Cairns &amp; we'll be missing all connex. This will cut more than 24 hrs off our trip."	1	-3
"@Delta Can you advise on DL1825?"	1	-1
"Can't believe @JoeyStefani is missing his cruise to Mexico because of @Delta. That ain't right"	1	-1
"@JRJohansson @Delta My poor daughter has a concert to go to in Brisbane on the 27th"	1	-2
"@DELTA Best flight crew flight 2655 dtw to sea Wednesday 3/22/17. Business class crew and purser were wonderful. Loved them!!!  U 2764  U 2764 "	4	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta Thanks for the free bump! Love the extra leg room! #PeanutsPlease #Comfort  https://t.co/5ygEd8J1LK"	3	-1
"@GabrielleSaraP @Delta the next flight isn't for over 14 hours and at this rate, we'll all still be in line  ed  U 00A0  U 00BD  ed  U 00B8  U 0095 "	1	-1
".@DougStanhope @Delta can somebody at @RenoAirport help get Bingo to Reno today from Tucson. This is important."	1	-1
"@GabrielleSaraP @Delta it's a nightmare. They have two people trying to move, check in and sort 300 hot exhausted people."	1	-3
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@JRJohansson @Delta I think my husband and child are on the flight"	1	-1
"RT @halsey: Thank you @Delta for celebrating first time Grammy nominees like me! And for the fun &amp; charity we accomplished tonight! #DeltaG "	2	-1
"RT @SlimmySlim94: PLEASE SPREAD THIS!! I was paralyzed. I can't believe this happened to me!! @Delta kicked us off for speaking Arabic! htt "	2	-2
"RT @CindySchoolmas1: Out door terminal. No jet way. We walk to the plane and up the stairs. @Delta  believes in tradition! Love! #HawaiiLif "	3	-1
"Hey @Delta. Don't change the fare after I've gone through the whole buying process. It's BS. Makes me never want to  https://t.co/OiS0hap6wG"	2	-1
"Have @Delta cancelled the EDI-JFK direct route???"	1	-2
"@Delta we were on diverted dl41 which is in Hawaii but we're trying to get to Sydney. Thoughts besides losing a whole day of our vaca?"	1	-3
"Lots of cloud cover today. Very light #turbulence though. @Delta is doing a great job. https://t.co/nkyCLbY6Lc"	3	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@DougStanhope @Delta @DeltaAssist Bingo missed her 40th party. She can't miss Stanhope's 50th, too. C'mon Delta you gotta make this right.  ed  U 00A0  U 00BD  ed  U 00B8  U 009E "	2	-2
"@thomascmurray @Delta appreciate it. seeing you present and the way you talk about educating kids is life changing"	2	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @estevezandrea: Llegar y ver q t falta media valija y el candado forzado! Indignaci n! @Delta haganse responsable d manera urgente por e "	1	-1
"@Delta Can you please start including meals on flights of three hours or more? Thanks so much! #Delta"	2	-1
"@Delta There a problem with the Fly Delta App today?"	1	-2
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"RT @asmagala5: Flight 1385 is making me miss my cruise ship! Thanks @Delta"	2	-2
"RT @Melvollstedt: Our @Delta flight got delayed and we are hoping @CarnivalCruise will hold the ship for the 13 of us."	2	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @asmagala5: Flight 1385 is making me miss my cruise ship! Thanks @Delta"	2	-2
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@jacobteixeira @xackeryirving @andrew_pitkin @TYRIQMUSTAQIYM @davidfabros @INSegal @COLEMANCOOKING @BarryGordin  https://t.co/09zlqOaVLq"	1	-1
"Our @Delta flight got delayed and we are hoping @CarnivalCruise will hold the ship for the 13 of us."	2	-1
"looks like @Delta is helping us out and trying to get us to our destination. I don't think I'd ever go through another airline if we make it"	2	-1
"RT @erinnyberg: @CarnivalCruise please help us!Our @Delta #flight1385 has been delayed 6 hours! Wait for all 13 of us and we will love you "	3	-1
"@DELTA I can't enter passport info for myself and my fellow travelers.  Why?"	1	-1
"I'll call direct then. In this era @delta should have emergency numbers. I'll handle from here. https://t.co/mrifm4cPUA"	1	-2
"Taking off from @naritaairport02 behind the Widget @Delta @FlyANA_official https://t.co/1ntKSKwSyJ"	1	-1
"RT @jrybold1: @Delta I am flying out of mpls at 825 tonight back home to Las Vegas can I check my bag in early so I can go to the mall of A "	1	-1
"RT @erinnyberg: @CarnivalCruise please help us!Our @Delta #flight1385 has been delayed 6 hours! Wait for all 13 of us and we will love you "	3	-1
"@Delta #DeltaAir Awful experience.  Delays which the cockpit keeps lying about &amp; flight crew gave the seat I selected to another passenger."	1	-4
"@RockinForRice @SalSports @Delta"	1	-1
"I hope this gate shuffle at LAX cuts taxi times cause this is ridiculous @Delta"	3	-3
"Flight 1385 is making me miss my cruise ship! Thanks @Delta"	2	-2
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"RT @erinnyberg: Thanks to @Delta... we are going to miss our @CarnivalCruise departing later today from Long Beach #flight1385 #Worstdayever"	2	-2
"RT @NickVollstedt12: Can't believe @Delta flight 1385 got delayed multiple times and now I'm going to miss my cruise... definitely never fl "	2	-2
"RT @ZackVollstedt24: @Delta thanks for a fantastic start to spring break! #flight1385 delayed us to miss the cruise ship!"	3	-2
"RT @NickVollstedt12: I now see why @AlaskaAir is no longer partners with @Delta... #GoTimbers"	1	-1
"RT @RockinForRice: Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at http "	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"@delta  ed  U 00A0  U 00BD  ed  U 00BB  U 00AB  @ Los Angeles International Airport (LAX) https://t.co/Eho8fb1dTO"	1	-1
"RT @RockinForRice: Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at http "	1	-1
"RT @ZackVollstedt24: Don't fly @Delta  ed  U 00A0  U 00BD  ed  U 00B8  U 00A4  good break up by @AlaskaAir"	2	-1
"RT @ZackVollstedt24: @Delta thanks for a fantastic start to spring break! #flight1385 delayed us to miss the cruise ship!"	3	-2
"RT @erinnyberg: Thanks to @Delta... we are going to miss our @CarnivalCruise departing later today from Long Beach #flight1385 #Worstdayever"	2	-2
"RT @erinnyberg: At jeopardy of missing our @CarnivalCruise because of @Delta @DeltaAssist..... please wait for us @CarnivalCruise  ed  U 00A0  U 00BD  ed  U 00B8  U 0094 "	2	-2
"@Delta what does it take for loyal Denver based Silver Medallion peeps to get a SkyMiles card? You gotta have 2 sitting around-Pretty please"	3	-1
"RT @RockinForRice: Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at http "	1	-1
"@Delta flight 1385 from Portland is really close to costing my family a cruise trip, smh over here."	1	-1
"RT @AirlineGeeks: Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta We lost a beautiful young soul in Austin &amp; want to fly to Michigan for services. any airlines help with bereavement flights?"	3	-4
"@Delta flight 1385 is delayed 6  hours from Portland to L.A. Never flying with Delta again(.)"	1	-1
"@Delta is now charging  75 for same day confirmed.... things I wish I would've known at the beginning of this year."	1	-1
"RT @Lakers: Your chance to join @JClark5on, @Delta and @Chris_Stamp to collaborate on the ultimate fashion look: https://t.co/4O1AptE2rL No "	1	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta you need more gate agents like Shanika in A1 for the 2pm FLL flight. #greatcustomerexperience"	2	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @ZackVollstedt24: Don't fly @Delta  ed  U 00A0  U 00BD  ed  U 00B8  U 00A4  good break up by @AlaskaAir"	2	-1
"RT @ZackVollstedt24: @Delta thanks for a fantastic start to spring break! #flight1385 delayed us to miss the cruise ship!"	3	-2
"@Delta hey you guys suck fix you're planes"	2	-2
"THANKS TO @Delta having multiple delays and now a canceled flight I'm going to miss my @CarnivalCruise that's been planned for a year!"	2	-2
"I'd rather fly @Delta than ever sit on the phone with @ATT customer service ever again. And that's saying something. WHAT THE FUCK."	1	-3
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"Since when did @Delta's inflight safety videos become so boring? Miss Deltalina way hard. #bringherback https://t.co/gmp3Och3rL"	2	-2
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@estevezandrea @capochatv @Delta ese candado no sirve para viajar a USA, lo rompe la TSA"	1	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@DougStanhope @Delta @DeltaAssist Happy Birthday; Fuck Delta"	2	-3
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta Whew, that's good news!"	2	-1
".@Delta sky clubs with outdoor decks are the best sky clubs. Next they need outdoor showers."	2	-1
"@Delta @DeltaAssist and want to charge each us  30 for each child. I'm amazed at the lack of common sense by those at @delta. Terrible"	3	-4
"@Delta I just did"	1	-1
"@Delta @DeltaAssist they won't give seat assignments to keep us and children under 7yrs old together. Wife and I also members of sky club"	1	-1
"@Delta flight 2656 mechanical delay. Let's make a plan B to get me home. I've been on the road for 15 days.  ed  U 00A0  U 00BD  ed  U 00B8  U 00AC "	1	-2
"@Delta thanks but how long should this take? It's been 48 hrs..."	2	-1
"@Delta You once listened to your Diamonds. Now it's just lip service."	1	-1
"@Delta @DeltaAssist have never done this but Delta's lack of cust. service was disgraceful today. Missed connect b/c they were late (1 of 2)"	1	-4
"@AirlineGeeks @Delta Those top &amp; bottom winglets on the new 737 look great."	3	-1
"@Delta why is it so hard to get a  400 refund which you promised two weeks ago cuz of your mistake?"	2	-2
"@Delta Thanks!  I'll keep my fingers crossed that my arrival gate in DTW is close to my connection for 3497."	2	-1
"RT @AirlineGeeks: Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"@Delta if stretching your legs out is impossible. Then it shouldn't be sold as first class"	1	-1
"@Delta I can't seem to enter my passport details.  What's up?"	2	-1
"@Delta you should price bulk heads differently.Should be atleast 25% discount or used only for free upgrades.  Someone should look into this"	1	-1
"Hey @Delta ! Flight attendant Kathryn on #1602 from Vegas to Atlanta today was best seen to date; courteous, warm, and customer focused!  ed  U 00A0  U 00BD  ed  U 00B1  U 008D "	3	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"RT @AirlineGeeks: Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"First time being in a @delta flight and them not doing a safety demonstration. Kinda nice though, we all know how a seatbelt works."	2	-1
"RT @DougStanhope: .@Delta You have no idea how much I hate you right now. We used to be close, you and me."	1	-4
"RT @Delta: @DougStanhope Oh no! We are sorry that you friend is delayed. Please have her tweet us for assistance. *EK"	2	-2
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"@Delta not sure how gold gets upgraded before platinum. Seems to be a lot of problems lately."	1	-2
"RT @ZackVollstedt24: @Delta thanks for a fantastic start to spring break! #flight1385 delayed us to miss the cruise ship!"	3	-2
"1A views. @Delta #Boeing #717 #DeltaMedallion #LAX #PDX #avgeek @ Malibu, California https://t.co/FluooZR55a"	1	-1
"RT @JoeyStefani: This is very unfortunate. Many of these people on @CarnivalCruise with families being delayed by @Delta our flight DL 1385 "	1	-3
"@Delta Hi! My friend can't check in for our flight from Brussels to New York tomorrow morning due to \"government regulations\" - help?!"	2	-1
"RT @ZackVollstedt24: Don't fly @Delta  ed  U 00A0  U 00BD  ed  U 00B8  U 00A4  good break up by @AlaskaAir"	2	-1
"@Delta sucks ass."	1	-2
"Don't fly @Delta  ed  U 00A0  U 00BD  ed  U 00B8  U 00A4  good break up by @AlaskaAir"	2	-1
"@Delta thanks"	2	-1
"@Delta this happened to me on my flight today. Who does this? I tickled the toes and the owner retracted them. https://t.co/X6HDvTjHvN"	1	-1
"@Delta I'll just have to make sure I don't pick first row. No one should.  It's ok since this was a free upgrade.If I had paid I'd be pissed"	1	-3
"@Delta next time for sure"	1	-1
"This is very unfortunate. Many of these people on @CarnivalCruise with families being delayed by @Delta our flight  https://t.co/ANf1Ii8CLf"	1	-3
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta if I ever see bulkhead first again I will gladly downgrade to comfort plus aisle.  This is terrible."	2	-4
"@Delta thx - I just tried to check flight status of 5182 from LGA and delta app has original schedule not updated?  Help pls"	1	-1
"Sorry @delta you're officially on my no fly list.. Too many screw ups and apology tweets lately. https://t.co/9wlG1gWhZz"	1	-2
"@Delta TPA 2 ATL TV, ATL 2 DFW No TV very disappointed in whoever schedules  ed  U 00A0  U 00BD  ed  U 00BB  U 00A9 . Happening to often.  ed  U 00A0  U 00BD  ed  U 00B2  U 008E  member"	1	-3
"@Delta down to a half hour in DTW and no sign of boarding here. I will call Delta Assistance to back me up on the 9:20 flight."	1	-1
"@Delta it's flight DL1385"	1	-1
"My second @Delta flight over three hours with no buy on board. I was told they 'didn't deliver it'. No onboard entertainment or charger."	1	-2
"Thank you @Delta for making spring break just a little better https://t.co/o2fPQxccjI"	2	-1
"RT @RowenaSara: Boarded the plane for a work trip and spotted this  ed  U 00A0  U 00BD  ed  U 00B9  U 0082 Thanks, @Delta for helping @habitat_org build homes   improve communiti "	2	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"Check out the  chrome  on this @Delta 737-900ER!  ed  U 00A0  U 00BD  ed  U 00B5  U 00B6  U 2708  U FE0F  https://t.co/UHm1DTJmz3"	1	-1
"@Delta no, the gate agent recovered it and told me she was taking it to lost and found  . I was told to fill out only form its case #1139251"	1	-1
"RT @estevezandrea: Por favor pido a @Delta Airlines  se hagan responsable de manera urgente por el robo de pertenec as valiosas en mi valij "	2	-1
"RT @Lakers: Your chance to join @JClark5on, @Delta and @Chris_Stamp to collaborate on the ultimate fashion look: https://t.co/4O1AptE2rL No "	1	-1
"@Delta my parents are having issues with their flight in PDX to Long Beach and are going to miss their cruise. Can you help them?"	2	-2
"@DougStanhope @Delta @DeltaAssist happy birthday Doug, don't do anything stupid like dying please"	2	-2
"Happy 50th Birthday @DougStanhope ! Thank you for everything you do!	2	-1
 @Delta @DeltaAssist Get your shit together!"	1	-2
"RT @lfcutegirl: what the fuck is going on @Delta https://t.co/f7xpSakuzb"	1	-3
"RT @ElleBee206: WTG @Delta! How will you resolve this issue of blatant racism? #racism #deltaairlines #deltaairlinesisracist https://t.co/u "	2	-2
"@DougStanhope @Delta @DeltaAssist you, you drink one for us. And if your running after the wagon. Drink one for us. Damn I love this guy"	3	-2
"RT @BET: #LWDBET celebrates @Delta and women in business all over the world. See what happened at the panel here: https://t.co/8sQDrOxjmW"	2	-1
"All we can hope for now is that @Delta can pull through for us and our family."	3	-1
"RT @Delta: @wazhlon Hi, thanks for sharing the view! :-)  Enjoy your flight and thanks for choosing Delta.  *ML"	3	-1
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"Have been saving up for a year and as a college student money is tight. Thanks @Delta for the worst service I have ever experienced."	2	-3
"@44jackm @Delta I would rather an elevator ride with Ray Rice than fly Delta again. Y'all destroyed two new surfboards and no compensation"	1	-3
"#blessed because I was able to watch a full episode of chopped on my flight to Columbus FOR FREE.  ed  U 00A0  U 00BD  ed  U 00B9  U 008C  ed  U 00A0  U 00BC  ed  U 00BF  U 00BD  ed  U 00A0  U 00BD  ed  U 00B9  U 008C  ed  U 00A0  U 00BC  ed  U 00BF  U 00BD  ed  U 00A0  U 00BD  ed  U 00B9  U 008C  ed  U 00A0  U 00BC  ed  U 00BF  U 00BD  ed  U 00A0  U 00BD  ed  U 00B9  U 008C  ed  U 00A0  U 00BC  ed  U 00BF  U 00BD  Thanks @Delta!"	2	-1
"@Delta My kid loves flying your airline back from college. It s the little things - like getting a whole can of soda. #goodjob"	3	-1
"Holy crap delta 1385 delayed out of pdx and now we are going to miss cruise ship you have got to be kidding me @Delta"	2	-3
"Delta line 1385 is delayed and it looks like we are going to miss our cruise. Our family (9 freaking people) miss spring break...@Delta"	2	-2
"Flight 1385 got delayed and now we are going to miss our cruise ship. Never flying with Delta again. @Delta"	2	-2
"Does anyone read Sky Magazine on @Delta anymore? #crosswordalreadyfilledin"	1	-1
"@Delta at ORD, time to board DL 4696 to DTW, but no aircraft here yet. Is there space on later flight out of DTW in case I need it?"	1	-1
"@Delta we were rerouted mid-way to Sydney and are now going to HNL. We are going to miss our flight to Cairns on another airline. Help?"	2	-2
"@omgAdamSaleh @Delta this is not good"	1	-2
"RT @RockinForRice: Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at http "	1	-1
"RT @estevezandrea: Por favor pido a @Delta Airlines  se hagan responsable de manera urgente por el robo de pertenec as valiosas en mi valij "	2	-1
"RT @estevezandrea: Por favor pido a @Delta Airlines  se hagan responsable de manera urgente por el robo de pertenec as valiosas en mi valij "	2	-1
"@DougStanhope @Delta You're only 50?!? Holy shit Obamacare has failed you miserably.  Happy Birthday Doug! Thanks for the laughs!"	2	-3
"@UncleWithCars @Delta Hah."	1	-1
"RT @DougStanhope: .@Delta You have no idea how much I hate you right now. We used to be close, you and me."	1	-4
"@Delta Why is there so much people there today?"	1	-1
"Still seeking resolution from @flighthub to ensure  325 flight does not end up costing me  1,397.33. Credit card ch  https://t.co/RtDy76qPZa"	1	-1
"I've always wondered what it feels like to pay 1000s of dollars to spend 30 hours in airports and 1 night at a seedy hotel Thanks @Delta"	2	-1
"RT @MAKERSwomen: Aviation history was just made as these two black female pilots took off: https://t.co/qrJvVofXy6 @Delta #WomensHistoryMon "	1	-1
"@DougStanhope @Delta @DeltaAssist have a great day #helpbingo"	3	-1
"@Delta first class bulkheads   @SpiritAirlines coach.  Ouch. Bad move delta.  Ouch ouch ouch"	1	-2
"@Delta first class bulkheads should be sold as coach . I can't explain how right the legroom is. You are squished"	1	-1
"RT @nehaintown: And @delta promptly undoes all goodwill from yesterday by making the rebooked travel experience a disorganized disaster."	1	-2
"RT @nehaintown: @Delta you've won me over again courtesy of the loveliest gate agent (and free snacks) in Hebron, KY. #txtonyin4stops"	3	-1
"@Delta volar  entre Nueva York y R o de Janeiro https://t.co/pLvkHjq4QQ"	1	-1
"@Delta @PattisallW 2/2 not that it mattered-they sent us to a fully booked hotel so delta didn't know where to forward them. I DMed you"	1	-1
"@Delta trying to connect with ATL lost and found to retrieve recovered item I filed an online report as directed but no response please help"	2	-1
"WTG @Delta! How will you resolve this issue of blatant racism? #racism #deltaairlines #deltaairlinesisracist https://t.co/uwmp5B9CUT"	2	-2
"RT @wazhlon: Um @Delta where is your pilot taking me https://t.co/yafzEBBVEj"	1	-1
"@Delta @PattisallW we were explicitly told at the gate that they could get our bag in 3-4 hours if we cared to wait-no forward to hotel 1/2"	2	-1
"@Delta hi can you please check DM"	2	-1
"@Delta your team keeps saying things are good then it gets more complicated. Really hope you make this right."	4	-2
"@estevezandrea @Delta m s que rotweiler te vendieron un caniche..."	1	-1
"@Delta Thank you!"	2	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"@AirfareSpot @Delta is this over ? I can't find any of these fares"	1	-1
"@Delta both of you function below C level"	1	-1
"Dear @Delta, you're breaking my heart. Please streamline your planes so they all use the same electrical parts. #canceled #hatespringbreak"	2	-1
"Being re-routed halfway through a 15 hour flight so that I end up in Honolulu instead of Sydney was NOT on my agenda for today.  ed  U 00A0  U 00BD  ed  U 00B8  U 00B3  ed  U 00A0  U 00BD  ed  U 00B8  U 0095  @Delta"	1	-1
"@Delta would also be helpful if these delays were communicated in your app."	2	-1
"@Delta  more like WVU can't ever get a shot off in time."	2	-2
"RT @cjmcginnis: On a @Delta 757-200(ow) SFO to ATL today. Old plane but nice new interior. Oversold. Remarkably civil boarding. Mood lighti "	2	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"@Delta Now we have to head back to the gate due to mechanical problem and still no air, no water #MyDayHasBeenRuined #DelayedFlight"	1	-2
"@Delta Really needs to get it together. Stuck on a hot plane and no one has offered us water.  ed  U 00A0  U 00BD  ed  U 00B9  U 0084  #BadBusiness #Waitingfortakeoff"	1	-1
"@DougStanhope @Delta @DeltaAssist can you put me on the guest list in her spot?"	1	-1
"@Delta The passenger in question is my daughter and I lost communication with her this am.  I'm trying to learn if she was able to board."	1	-1
"@Delta 9103874575"	1	-1
"@Delta who does  ed  U 00A0  U 00BD  ed  U 00BB  U 00A9  schedule... short flight TPA 2 ATL TV's ... ATL 2 DFW NO TV... Poor planning happening to often ... kids matter"	1	-2
"@Delta my flight from Detroit to EWR was supposed to board at 11:45.  It's 12:13.  Your helpful agent can't tell me anything.  What's up?"	2	-1
"RT @DougStanhope: .@Delta You have no idea how much I hate you right now. We used to be close, you and me."	1	-4
"RT @DougStanhope: .@Delta You have no idea how much I hate you right now. We used to be close, you and me."	1	-4
"@PattisallW @Delta got this  ed  U 00A0  U 00BE  ed  U 00B4  U 00B7  U 200D  U 2640  U FE0F From Delta gate agent-said \"the system is automated\" even tho we can see our bags are expedited to BOS"	1	-1
"RT @omgAdamSaleh: We got kicked out of a @Delta airplane because I spoke Arabic to my mom on the phone and with my friend slim... WTFFFFFFF "	2	-2
"Last event @SalSports took home the @Delta round trip tix. Might it be you tomorrow? https://t.co/AcW6pex3M5 Tix at https://t.co/ombrSTIROA"	1	-1
"My iPad is back! Thanks @delta! And to the passages who turned it in!! https://t.co/4pJQsuZcxV"	2	-1
"RT @LucieBFink: Traveling on @Delta this holiday season? #TryLivingwithLucie is streamable on Delta's In-Flight Entertainment!!! YAY. Take "	2	-1
"@Delta--what arrogance. https://t.co/fsMt567IhY"	1	-3
"@Delta trying to buy delta comfort seats on app and can't. Help?"	2	-1
"@DELTA"	1	-1
"@Delta @DeltaNewsHub awesome flight crew today--BNA to ATL 2640! You all were awesome! #greatservice #Delta  ed  U 00A0  U 00BD  ed  U 00B8  U 008A "	3	-1
"Aviso importnate de reubicaci n de aerol neas  U 2708  U FE0F en @flyLAXairport: @Delta, @DeltaAssist, @Aeromexico,  https://t.co/bPN16IMMqO"	1	-1
"@DougStanhope @Delta https://t.co/zlHKgghHbB"	1	-1
"RT @DougStanhope: GOOD MORNING, 50TH BIRTHDAY! Bingo will no longer be joining the Reno celebration. My old friends @Delta @DeltaAssist str "	2	-1
"Beware booking w/ @flighthub. First charge  325. Called me repeatedly to add f 1,068  charges to my credit card.  https://t.co/JQI72nOHlZ"	1	-2
"RT @Borrigu: @Delta I emailed re: severe peanut allergy for a Monday flight. I (finally) got a reply, on Sat. 1:35am... to call back M-F. - "	1	-2
"@Delta - do you have emergency contact number in Orlando airport?"	1	-2
"I guess we have to wait to walk to breakfast. Thanks @Delta https://t.co/D1HKAXJOQw"	2	-1
"@DougStanhope @Delta @DeltaAssist they should really consider a casino like concierge that tracks top customers needs"	2	-1
"RT @JClark5on: Visit https://t.co/ODbVj8eVtR for your chance to join me, @Delta &amp; @Chris_Stamp and style my own fashion look https://t.co/L "	1	-1
"@Delta Why does the BAGS status show 1 pending in the trip summary, even though it's already charged to credit card?"	1	-2
